ticker,vol_30d,ret_1m,ret_3m,fwd_6m,label,phase_1,phase_2,phase_3,phase_4,active_trials,total_trials,pipeline_density,late_stage_ratio,risk_score
ALVO,0.031960782497035746,-0.1929180010073872,0.004411604632372446,-0.45504387581612615,0,0,0,0,0,0,0,0.0,0.0,0.0
AMGN,0.015545040404434034,-0.012624863375525264,-0.07332092592427553,0.19864684819810963,0,27,63,57,10,178,178,0.31843575418994413,0.3743016759776536,0.39705882352941174
AMLX,0.06522577249459315,0.3116275406163471,0.6679560363827108,0.901716048449632,1,1,1,3,0,5,5,0.5,0.5,0.25
ANAB,0.0392597656541787,0.0012997195237298698,0.20018789850663044,1.293243157558848,1,0,2,0,0,2,2,0.0,0.0,0.0
ANNX,0.04776041982504349,0.1152145684247543,0.1639301862745023,1.0833332505491078,1,0,0,2,0,2,2,0.6666666666666666,0.6666666666666666,0.0
ANRO,0.050219181997745235,-0.17952368493701243,0.07259780736728538,7.440908769241057,1,0,0,0,0,0,0,0.0,0.0,0.0
APGE,0.03220071094593238,0.1533406858809644,0.1470296913364756,0.7586920726849584,1,2,2,0,0,4,4,0.0,0.0,2.0
APLS,0.03779061335011738,0.007654880383972329,-0.2912384053063184,0.45407283956398725,1,0,3,2,0,6,6,0.2857142857142857,0.2857142857142857,0.0
ARCT,0.04105013368218117,0.037605741090127154,0.18944679515929597,-0.5265180830868026,0,0,0,0,0,0,0,0.0,0.0,0.0
ARDX,0.04163942015807419,-0.015910128472008123,-0.14506965197081156,0.4744898207432917,1,0,0,0,0,0,0,0.0,0.0,0.0
ARGX,0.017158399932941232,-0.048811800071968725,-0.04452508530387711,0.5192664575247465,1,0,0,0,0,0,0,0.0,0.0,0.0
ARQT,0.027706058462298993,0.03250601579732837,-0.06969581823715232,1.0370897670068966,1,0,2,0,0,2,2,0.0,0.0,0.0
ARVN,0.03403095643966144,-0.009726394535241045,0.05483528057740106,0.6168477449263328,1,1,2,0,0,3,3,0.0,0.0,1.0
ARWR,0.027391931775187724,-0.05796780839870663,0.20289576229754192,3.406329234565913,1,0,0,0,0,0,0,0.0,0.0,0.0
ASND,0.023100973070031134,0.060031296841238535,0.12925756699034963,0.22259557827537502,0,0,0,0,0,0,0,0.0,0.0,0.0
ATAI,0.060215540675291605,-0.021952552175726447,0.5148681352358028,0.826483970542351,1,0,0,0,0,0,0,0.0,0.0,0.0
ATXS,0.052256739600343015,0.0997278321563525,0.046969291633881305,1.4235073596166088,1,1,1,1,0,3,3,0.25,0.25,0.5
AUPH,0.019897136575146596,0.06289248704669348,0.036523662953635516,0.8760330392406006,1,0,0,1,0,1,1,0.5,0.5,0.0
AURA,0.0438043628757255,0.04428247957032461,0.06408150928700196,-0.12779555295284062,0,0,0,0,0,0,0,0.0,0.0,0.0
AUTL,0.04086992447445673,0.28167833192996294,0.4297298265459467,-0.17982454902027212,0,0,0,0,0,0,0,0.0,0.0,0.0
AVBP,0.037165264502513944,0.05150394012232773,0.17787466901578253,-0.028479596977329935,0,2,0,3,0,5,5,0.5,0.5,0.5
AVIR,0.0202140632426119,0.20343732901162215,0.23842211273159308,0.0,0,1,0,2,0,3,3,0.5,0.5,0.3333333333333333
AVXL,0.03347956064902986,0.1981386507868722,0.10354266446510452,-0.6041214761760888,0,0,1,0,0,1,1,0.0,0.0,0.0
AXSM,0.015435389971678508,0.00041399015612164636,-0.10955041330687587,0.4434332173271671,1,0,1,2,2,6,6,0.2857142857142857,0.5714285714285714,0.0
AZN,0.011961088123499783,-0.012260510921766055,-0.04347201516517185,0.3331914036570143,0,80,263,189,14,719,719,0.2625,0.28194444444444444,0.39215686274509803
BBIO,0.023768684719387458,0.26549104677543967,0.23560570394678493,0.7510421509026379,1,0,0,0,0,1,1,0.0,0.0,0.0
BBOT,0.005277214612842575,-0.01641189774199736,-0.011184347658620086,0.17137473770588518,0,0,0,0,0,0,0,0.0,0.0,0.0
BCAX,0.09020916059605695,0.010810669064527656,-0.1462305833472699,0.7771797951211912,1,0,0,0,0,0,0,0.0,0.0,0.0
BCRX,0.020582724232063684,-0.18967351209844785,0.18208117061222084,-0.13950892797747283,0,0,0,0,0,0,0,0.0,0.0,0.0
BCYC,0.030790546252539592,-0.21616433650968714,-0.17664901117332676,-0.024460374693846543,0,0,0,0,0,0,0,0.0,0.0,0.0
BDTX,0.048058024255431875,0.11627674395584464,0.5136415988776158,0.004032254188043316,0,0,1,0,0,1,1,0.0,0.0,0.0
BEAM,0.027375676528106938,0.04984373494968686,-0.17943037144884544,0.6366842902986822,1,2,4,0,0,7,7,0.0,0.0,2.0
BHVN,0.027356206685746842,-0.03472804775661198,-0.5536817732151871,-0.18214030881340404,0,0,0,0,0,0,0,0.0,0.0,0.0
BIIB,0.016513808147903413,-0.05358479527720306,-0.0803767833389597,0.4079943226951501,1,8,7,14,0,50,50,0.27450980392156865,0.27450980392156865,0.5333333333333333
BIOA,0.02794266770995443,0.04459187484067839,0.10855830462767369,2.351089532466375,1,0,0,0,0,0,0,0.0,0.0,0.0
BMRN,0.012419071043378919,-0.06142535124837467,-0.24215796496360054,0.09223211901466577,0,2,10,4,1,25,25,0.15384615384615385,0.19230769230769232,0.3333333333333333
BMY,0.012440940970659486,-0.031592987775311276,-0.23578518796755688,0.20062977017679273,0,55,190,72,6,415,415,0.17307692307692307,0.1875,0.6962025316455697
BNTX,0.03950229806625294,0.07852922572568555,0.1705929917445802,-0.10585145245841776,0,8,26,13,0,48,48,0.2653061224489796,0.2653061224489796,0.5714285714285714
BRKR,0.023155261451681137,0.10707502304830419,0.020723890252923205,0.17875128578129407,0,0,0,0,0,0,0,0.0,0.0,0.0
CABA,0.07347539274142362,-0.15757146755663076,0.19473678071547684,0.5,1,0,0,0,0,0,0,0.0,0.0,0.0
CADL,0.04090642980815096,-0.1299584461197506,-0.089441271986058,0.14624510994536255,0,1,4,1,0,6,6,0.14285714285714285,0.14285714285714285,0.5
CATX,0.08468320690085582,0.3210702691841555,0.613600210034578,-0.2063953564932952,0,0,0,0,0,0,0,0.0,0.0,0.0
CCCC,0.06324250879939576,0.12232178593483534,-0.06393540570918999,0.4195804516431667,1,1,0,0,0,1,1,0.0,0.0,1.0
CDNA,0.03461262178611262,0.1759844762557643,0.13287240787292331,-0.01740021170202255,0,0,0,0,0,0,0,0.0,0.0,0.0
CDTX,0.21350052445602577,1.1840889294205883,1.2265552225593455,3.5249437036505658,1,1,1,1,0,4,4,0.2,0.2,0.5
