,phase_1,phase_2,phase_3,phase_4,active_trials,total_trials,late_stage_ratio,pipeline_density,ticker
0,0.0,0.0,1.0986122886681096,0.0,1.0986122886681096,1.0986122886681096,1.0,1.0,AARD
1,4.189654742026425,4.564348191467836,4.3694478524670215,2.772588722239781,5.786897381366708,5.786897381366708,1.2341737038060363,1.0,ABBV
2,1.0986122886681096,0.0,0.0,0.0,1.0986122886681096,1.0986122886681096,0.0,1.0,ABCL
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABSI
4,0.0,0.0,0.0,0.6931471805599453,4.418840607796598,4.418840607796598,0.15686177485944097,1.0,ABT
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABUS
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABVX
7,0.0,1.6094379124341003,1.0986122886681096,0.6931471805599453,2.0794415416798357,2.0794415416798357,0.8616541669070521,1.0,ACAD
8,1.0986122886681096,1.0986122886681096,0.0,0.0,1.6094379124341003,1.6094379124341003,0.0,1.0,ACIU
9,1.0986122886681096,0.6931471805599453,0.6931471805599453,0.0,1.6094379124341003,1.6094379124341003,0.43067655807339306,1.0,ACLX
10,0.6931471805599453,1.0986122886681096,0.0,0.0,1.3862943611198906,1.3862943611198906,0.0,1.0,ACRS
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ADCT
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ADMA
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ADPT
14,0.6931471805599453,1.791759469228055,1.791759469228055,0.0,2.639057329615259,2.639057329615259,0.6789391989029927,1.0,AGIO
15,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,AKBA
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ALKS
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ALLO
18,0.6931471805599453,1.0986122886681096,1.3862943611198906,0.0,1.9459101490553132,1.9459101490553132,0.7124143742160444,1.0,ALMS
19,1.791759469228055,1.791759469228055,1.6094379124341003,0.0,3.044522437723423,3.044522437723423,0.5286339468194481,1.0,ALNY
20,0.0,1.0986122886681096,0.0,0.0,1.0986122886681096,1.0986122886681096,0.0,1.0,ALT
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ALVO
22,3.367295829986474,4.1588830833596715,4.060443010546419,2.3978952727983707,5.209486152841421,5.209486152841421,1.239726547660023,1.0,AMGN
23,0.6931471805599453,0.6931471805599453,1.3862943611198906,0.0,1.791759469228055,1.791759469228055,0.7737056144690831,1.0,AMLX
24,0.0,1.0986122886681096,0.0,0.0,1.0986122886681096,1.0986122886681096,0.0,1.0,ANAB
25,0.0,0.0,1.0986122886681096,0.0,1.0986122886681096,1.0986122886681096,1.0,1.0,ANNX
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ANRO
27,1.0986122886681096,1.0986122886681096,0.0,0.0,1.6094379124341003,1.6094379124341003,0.0,1.0,APGE
28,0.0,1.3862943611198906,1.0986122886681096,0.0,1.9459101490553132,1.9459101490553132,0.5645750340535796,1.0,APLS
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARCT
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARDX
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARGX
32,0.0,1.0986122886681096,0.0,0.0,1.0986122886681096,1.0986122886681096,0.0,1.0,ARQT
33,0.6931471805599453,1.0986122886681096,0.0,0.0,1.3862943611198906,1.3862943611198906,0.0,1.0,ARVN
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARWR
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ASND
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATAI
37,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,1.3862943611198906,1.3862943611198906,0.5,1.0,ATXS
38,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,AUPH
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AURA
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AUTL
41,1.0986122886681096,0.0,1.3862943611198906,0.0,1.791759469228055,1.791759469228055,0.7737056144690831,1.0,AVBP
42,0.6931471805599453,0.0,1.0986122886681096,0.0,1.3862943611198906,1.3862943611198906,0.792481250360578,1.0,AVIR
43,0.0,0.6931471805599453,0.0,0.0,0.6931471805599453,0.6931471805599453,0.0,0.6931471805599453,AVXL
44,0.0,0.6931471805599453,1.0986122886681096,1.0986122886681096,1.9459101490553132,1.9459101490553132,1.1291500681071591,1.0,AXSM
45,4.382026634673881,5.58724865840025,5.247024072160486,2.70805020110221,6.582025138892826,6.582025138892826,1.2086058781903761,1.0,AZN
46,0.0,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,0.0,0.6931471805599453,BBIO
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BBOT
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BCAX
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BCRX
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BCYC
51,0.0,0.6931471805599453,0.0,0.0,0.6931471805599453,0.6931471805599453,0.0,0.6931471805599453,BDTX
